Date,Sunrise,Sunset,Summer
2013-01-01,07:45:00,15:34:00,0
2013-01-02,07:45:00,15:35:00,0
2013-01-03,07:45:00,15:36:00,0
2013-01-04,07:45:00,15:37:00,0
2013-01-05,07:44:00,15:38:00,0
2013-01-06,07:44:00,15:39:00,0
2013-01-07,07:44:00,15:41:00,0
2013-01-08,07:43:00,15:42:00,0
2013-01-09,07:43:00,15:43:00,0
2013-01-10,07:42:00,15:45:00,0
2013-01-11,07:41:00,15:46:00,0
2013-01-12,07:41:00,15:48:00,0
2013-01-13,07:40:00,15:49:00,0
2013-01-14,07:39:00,15:51:00,0
2013-01-15,07:38:00,15:52:00,0
2013-01-16,07:37:00,15:54:00,0
2013-01-17,07:36:00,15:56:00,0
2013-01-18,07:35:00,15:57:00,0
2013-01-19,07:34:00,15:59:00,0
2013-01-20,07:33:00,16:01:00,0
2013-01-21,07:32:00,16:02:00,0
2013-01-22,07:31:00,16:04:00,0
2013-01-23,07:30:00,16:06:00,0
2013-01-24,07:28:00,16:07:00,0
2013-01-25,07:27:00,16:09:00,0
2013-01-26,07:26:00,16:11:00,0
2013-01-27,07:24:00,16:13:00,0
2013-01-28,07:23:00,16:15:00,0
2013-01-29,07:22:00,16:16:00,0
2013-01-30,07:20:00,16:18:00,0
2013-01-31,07:19:00,16:20:00,0
2013-02-01,07:17:00,16:22:00,0
2013-02-02,07:15:00,16:24:00,0
2013-02-03,07:14:00,16:26:00,0
2013-02-04,07:12:00,16:28:00,0
2013-02-05,07:10:00,16:30:00,0
2013-02-06,07:09:00,16:31:00,0
2013-02-07,07:07:00,16:33:00,0
2013-02-08,07:05:00,16:35:00,0
2013-02-09,07:03:00,16:37:00,0
2013-02-10,07:01:00,16:39:00,0
2013-02-11,07:00:00,16:41:00,0
2013-02-12,06:58:00,16:43:00,0
2013-02-13,06:56:00,16:45:00,0
2013-02-14,06:54:00,16:46:00,0
2013-02-15,06:52:00,16:48:00,0
2013-02-16,06:50:00,16:50:00,0
2013-02-17,06:48:00,16:52:00,0
2013-02-18,06:46:00,16:54:00,0
2013-02-19,06:44:00,16:56:00,0
2013-02-20,06:42:00,16:58:00,0
2013-02-21,06:40:00,17:00:00,0
2013-02-22,06:38:00,17:01:00,0
2013-02-23,06:35:00,17:03:00,0
2013-02-24,06:33:00,17:05:00,0
2013-02-25,06:31:00,17:07:00,0
2013-02-26,06:29:00,17:09:00,0
2013-02-27,06:27:00,17:11:00,0
2013-02-28,06:25:00,17:12:00,0
2013-03-01,06:22:00,17:14:00,0
2013-03-02,06:20:00,17:16:00,0
2013-03-03,06:18:00,17:18:00,0
2013-03-04,06:16:00,17:20:00,0
2013-03-05,06:14:00,17:21:00,0
2013-03-06,06:11:00,17:23:00,0
2013-03-07,06:09:00,17:25:00,0
2013-03-08,06:07:00,17:27:00,0
2013-03-09,06:04:00,17:29:00,0
2013-03-10,06:02:00,17:30:00,0
2013-03-11,06:00:00,17:32:00,0
2013-03-12,05:58:00,17:34:00,0
2013-03-13,05:55:00,17:36:00,0
2013-03-14,05:53:00,17:38:00,0
2013-03-15,05:51:00,17:39:00,0
2013-03-16,05:48:00,17:41:00,0
2013-03-17,05:46:00,17:43:00,0
2013-03-18,05:44:00,17:45:00,0
2013-03-19,05:41:00,17:46:00,0
2013-03-20,05:39:00,17:48:00,0
2013-03-21,05:37:00,17:50:00,0
2013-03-22,05:34:00,17:52:00,0
2013-03-23,05:32:00,17:53:00,0
2013-03-24,05:30:00,17:55:00,0
2013-03-25,05:27:00,17:57:00,0
2013-03-26,05:25:00,17:58:00,0
2013-03-27,05:23:00,18:00:00,0
