A couple,A few ,Dozens,A lot,Some,Several,Many,Fractions of,Scores of,Hundreds of
2,3,30,20,4,7,12,0.15,80,250
2,3,24,12,6,10,50,0.5,40,200
2,5,30,15,5,4,25,0.25,500,500
2,5,30,15,5,4,25,0.25,500,500
2,3,48,50,3,5,5,0.01,100000,599
2,3,36,10,5,7,20,0.5,400,400
2,3,36,9,4,3,7,4,8,200
2,3,50,50,15,10,20,0.5,100,1000
2,4,36,30,5,8,20,0.2,100,500
2,5,36,16,10,8,25,4,1000,300
2,4,36,80,3,4,7,0.5,30000,300
2,6,36,50,4,8,50,0.33,100,200
2,3,36,25,4,7,10,0.2,50,300
2,3,48,10,8,7,60,0.25,40,400
2,3,12,10,3,4,8,0.25,14,350
2,3,24,10,2,4,10,0.1,6,200
2,3,36,100,5,7,30,1,40,3000
2,3,36,20,3,5,9,0.1,50,300
5,2,12,20,3,10,8,1,3,200
2,3,24,10,3,2,10,0.01,40,200
2,3,36,10,3,5,10,0.1,300,300
2,3,48,12,6,6,40,15,80,400
3,4,60,20,3,7,25,0.25,100,250
2,3,12,20,3,8,20,3,30,300
2,3,24,10,5,4,25,0.1,40,250
2,3,36,9,4,7,10,0.5,60,200
2,3,24,25,5,10,25,0.25,100,200
2,3,36,10,4,5,20,0.25,2000,300
2,3,36,12,4,7,5,0.1,60,500
2,3,30,14,4,7,7,2,200,200
2,3,36,47,5,4,8,0.4,67,318
3,4,36,10,5,8,20,0.5,40,300
2,3,24,2948,5,7,1000,10,50,500
4,7,12,43,5,5,30,0.5,25,120
8,10,50,20,4,8,100,0.1,100,700
2,3,36,8,5,4,25,3,100,300
2,3,12,10,6,5,20,0.4,100,100
3,5,40,23,6,6,58,33,40,400
2,3,36,7,5,4,7,0.5,40,500
2,3,24,12,4,7,6,0.1,300,300
2,3,24,20,5,10,10,50,1000,500
3,5,36,10,5,10,15,0.5,40,200
2,3,36,12,4,5,20,0.2,200,300
2,3,60,7,3,7,5,0.1,80,300
2,3,120,12,3,5,25,0.1,80,300
2,4,36,20,7,5,80,100,500,500
