"Browser Version","Market Share Perc. (Nov 2013)"
"Chrome 30.0",18.51
"Chrome 31.0",17.31
"Firefox 25.0",11.21
"IE 10.0",11.1
"IE 8.0",8.65
"IE 9.0",5.29
"Safari iPad",4.14
"Firefox 24.0",2.91
"IE 11.0",1.47
"Safari 5.1",1.18
"Safari 6.0",1.11
"Android 0",0.94
"Safari 7.0",0.88
"Chrome for Android",0.86
"Chrome 29.0",0.74
"Safari 6.1",0.69
"Chrome 21.0",0.56
"360 Safe Browser 0",0.55
"Opera 12.1",0.53
"IE 7.0",0.5
"Firefox 26.0",0.49
"Chrome 28.0",0.49
"Chrome 26.0",0.46
"Chrome 27.0",0.39
"Firefox 3.6",0.36
"Firefox 23.0",0.36
"Safari 5.0",0.35
"Chrome 25.0",0.31
"Firefox 16.0",0.28
"IE 6.0",0.28
"Chrome 22.0",0.27
"Chrome iPad",0.24
"Firefox 22.0",0.24
"Firefox 12.0",0.23
"Firefox 21.0",0.23
"Firefox 17.0",0.23
"Opera 17.0",0.23
"Chrome 23.0",0.22
"Yandex Browser 1.7",0.22
"Chrome 24.0",0.21
"Firefox 20.0",0.17
"Firefox 15.0",0.16
"Sogou Explorer 0",0.15
"Chrome 32.0",0.15
"Firefox 19.0",0.14
"Chrome 11.0",0.14
"Firefox 10.0",0.12
"Firefox 18.0",0.12
"Opera 18.0",0.12
"Chrome 18.0",0.11
"Firefox 13.0",0.11
"Firefox 3.0",0.1
"Firefox 14.0",0.1
"Firefox 11.0",0.1
"Silk 3.8",0.09
"Yandex Browser 13.10",0.09
"Maxthon 4.1",0.09
"Sony PS3 0",0.09
"Safari 4.0",0.08
"Chrome 15.0",0.08
"Chrome 12.0",0.08
"Firefox 8.0",0.08
"Firefox 4.0",0.08
"Chrome 33.0",0.07
"Chrome 13.0",0.07
"Chrome 14.0",0.06
"Firefox 9.0",0.06
"Opera 0",0.06
"Firefox 6.0",0.05
"Chrome 16.0",0.05
"Chrome 10.0",0.05
"Chrome 20.0",0.05
"Chrome 26.2",0.05
"Safari 4.1",0.05
"Firefox 5.0",0.05
"Firefox 3.5",0.05
"Opera 12.0",0.05
"Chrome 19.0",0.05
"Firefox 7.0",0.05
"Opera 16.0",0.05
"Maxthon 3.0",0.04
"Maxthon 1.0",0.04
"Chrome 17.0",0.04
"Silk 1.0",0.04
"Chrome 6.0",0.04
"Chrome 8.0",0.03
"Opera 11.6",0.03
"Netscape 4.7",0.03
"Chrome 4.0",0.03
"QQ Browser 7.4",0.03
"Chrome 5.0",0.03
"BlackBerry 0",0.03
"Chromium 30.0",0.03
"Opera 15.0",0.03
"Chrome 7.0",0.03
"Silk 3.7",0.03
"Tencent Traveler 4.0",0.03
"TheWorld ",0.03
"Maxthon 4.0",0.02
"Chrome 9.0",0.02
"Firefox 28.0",0.02
"Puffin 3.10",0.02
"Firefox 27.0",0.02
"Firefox 2.0",0.02
"QQ Browser 6.12",0.02
"Opera 10.0",0.02
"CoRom+ 30.0",0.02
"Chromium 28.0",0.02
"Opera 11.5",0.02
"Chromium 25.0",0.02
"Mozilla 0",0.01
"Chrome 3.0",0.01
"Pale Moon 24.1",0.01
"Opera 10.6",0.01
"RockMelt 0.16",0.01
"Pale Moon 24.0",0.01
"Unknown 0",0.01
"Other",0.4
