atomic number,symbol,name,atomic mass,CPK,electronic configuration,electronegativity,atomic radius,ion radius,van der Waals radius,IE-1,EA,standard state,bonding type,melting point,boiling point,density,metal,year discovered,group,period
1,H,Hydrogen,1.00794,#FFFFFF,1s1,2.2,37.0,,120.0,1312.0,-73.0,gas,diatomic,14,20,8.99E-05,nonmetal,1766,1,1
2,He,Helium,4.002602,#D9FFFF,1s2,,32.0,,140.0,2372.0,0.0,gas,atomic,,4,0,noble gas,1868,18,1
3,Li,Lithium,6.941,#CC80FF,[He] 2s1,0.98,134.0,76 (+1),182.0,520.0,-60.0,solid,metallic,454,1615,0.54,alkali metal,1817,1,2
4,Be,Beryllium,9.012182,#C2FF00,[He] 2s2,1.57,90.0,45 (+2),,900.0,0.0,solid,metallic,1560,2743,1.85,alkaline earth metal,1798,2,2
5,B,Boron,10.811,#FFB5B5,[He] 2s2 2p1,2.04,82.0,27 (+3),,801.0,-27.0,solid,covalent network,2348,4273,2.46,metalloid,1807,13,2
6,C,Carbon,12.0107,#909090,[He] 2s2 2p2,2.55,77.0,16 (+4),170.0,1087.0,-154.0,solid,covalent network,3823,4300,2.26,nonmetal,Ancient,14,2
7,N,Nitrogen,14.0067,#3050F8,[He] 2s2 2p3,3.04,75.0,146 (-3),155.0,1402.0,-7.0,gas,diatomic,63,77,0,nonmetal,1772,15,2
8,O,Oxygen,15.9994,#FF0D0D,[He] 2s2 2p4,3.44,73.0,140 (-2),152.0,1314.0,-141.0,gas,diatomic,55,90,0,nonmetal,1774,16,2
9,F,Fluorine,18.9984032,#90E050,[He] 2s2 2p5,3.98,71.0,133 (-1),147.0,1681.0,-328.0,gas,atomic,54,85,0,halogen,1670,17,2
10,Ne,Neon,20.1797,#B3E3F5,[He] 2s2 2p6,,69.0,,154.0,2081.0,0.0,gas,atomic,25,27,0,noble gas,1898,18,2
11,Na,Sodium,22.98976928,#AB5CF2,[Ne] 3s1,0.93,154.0,102 (+1),227.0,496.0,-53.0,solid,metallic,371,1156,0.97,alkali metal,1807,1,3
12,Mg,Magnesium,24.3050,#8AFF00,[Ne] 3s2,1.31,130.0,72 (+2),173.0,738.0,0.0,solid,metallic,923,1363,1.74,alkaline earth metal,1808,2,3
13,Al,Aluminum,26.9815386,#BFA6A6,[Ne] 3s2 3p1,1.61,118.0,53.5 (+3),,578.0,-43.0,solid,metallic,933,2792,2.7,metal,Ancient,13,3
14,Si,Silicon,28.0855,#F0C8A0,[Ne] 3s2 3p2,1.9,111.0,40 (+4),210.0,787.0,-134.0,solid,metallic,1687,3173,2.33,metalloid,1854,14,3
15,P,Phosphorus,30.973762,#FF8000,[Ne] 3s2 3p3,2.19,106.0,44 (+3),180.0,1012.0,-72.0,solid,covalent network,317,554,1.82,nonmetal,1669,15,3
16,S,Sulfur,32.065,#FFFF30,[Ne] 3s2 3p4,2.58,102.0,184 (-2),180.0,1000.0,-200.0,solid,covalent network,388,718,1.96,nonmetal,Ancient,16,3
17,Cl,Chlorine,35.453,#1FF01F,[Ne] 3s2 3p5,3.16,99.0,181 (-1),175.0,1251.0,-349.0,gas,covalent network,172,239,0,halogen,1774,17,3
18,Ar,Argon,39.948,#80D1E3,[Ne] 3s2 3p6,,97.0,,188.0,1521.0,0.0,gas,atomic,84,87,0,noble gas,1894,18,3
19,K,Potassium,39.0983,#8F40D4,[Ar] 4s1,0.82,196.0,138 (+1),275.0,419.0,-48.0,solid,metallic,337,1032,0.86,alkali metal,1807,1,4
20,Ca,Calcium,40.078,#3DFF00,[Ar] 4s2,1.0,174.0,100 (+2),,590.0,-2.0,solid,metallic,1115,1757,1.55,alkaline earth metal,Ancient,2,4
21,Sc,Scandium,44.955912,#E6E6E6,[Ar] 3d1 4s2,1.36,144.0,74.5 (+3),,633.0,-18.0,solid,metallic,1814,3103,2.99,transition metal,1876,3,4
22,Ti,Titanium,47.867,#BFC2C7,[Ar] 3d2 4s2,1.54,136.0,86 (+2),,659.0,-8.0,solid,metallic,1941,3560,4.51,transition metal,1791,4,4
23,V,Vanadium,50.9415,#A6A6AB,[Ar] 3d3 4s2,1.63,125.0,79 (+2),,651.0,-51.0,solid,metallic,2183,3680,6.11,transition metal,1803,5,4
24,Cr,Chromium,51.9961,#8A99C7,[Ar] 3d5 4s1,1.66,127.0,80 (+2*),,653.0,-64.0,solid,metallic,2180,2944,7.14,transition metal,Ancient,6,4
25,Mn,Manganese,54.938045,#9C7AC7,[Ar] 3d5 4s2,1.55,139.0,67 (+2),,717.0,0.0,solid,metallic,1519,2334,7.47,transition metal,1774,7,4
26,Fe,Iron,55.845,#E06633,[Ar] 3d6 4s2,1.83,125.0,78 (+2*),,763.0,-16.0,solid,metallic,1811,3134,7.87,transition metal,Ancient,8,4
27,Co,Cobalt,58.933195,#F090A0,[Ar] 3d7 4s2,1.88,126.0,74.5 (+2*),,760.0,-64.0,solid,metallic,1768,3200,8.9,transition metal,Ancient,9,4
28,Ni,Nickel,58.6934,#50D050,[Ar] 3d8 4s2,1.91,121.0,69 (+2),163.0,737.0,-112.0,solid,metallic,1728,3186,8.91,transition metal,1751,10,4
29,Cu,Copper,63.546,#C88033,[Ar] 3d10 4s1,1.9,138.0,77 (+1),140.0,746.0,-118.0,solid,metallic,1358,3200,8.92,transition metal,Ancient,11,4
30,Zn,Zinc,65.38,#7D80B0,[Ar] 3d10 4s2,1.65,131.0,74 (+2),139.0,906.0,0.0,solid,metallic,693,1180,7.14,transition metal,1746,12,4
31,Ga,Gallium,69.723,#C28F8F,[Ar] 3d10 4s2 4p1,1.81,126.0,62 (+3),187.0,579.0,-29.0,solid,metallic,303,2477,5.9,metal,1875,13,4
32,Ge,Germanium,72.64,#668F8F,[Ar] 3d10 4s2 4p2,2.01,122.0,73 (+2),,762.0,-119.0,solid,metallic,1211,3093,5.32,metalloid,1886,14,4
33,As,Arsenic,74.92160,#BD80E3,[Ar] 3d10 4s2 4p3,2.18,119.0,58 (+3),185.0,947.0,-78.0,solid,metallic,1090,887,5.73,metalloid,Ancient,15,4
34,Se,Selenium,78.96,#FFA100,[Ar] 3d10 4s2 4p4,2.55,116.0,198 (-2),190.0,941.0,-195.0,solid,metallic,494,958,4.82,nonmetal,1817,16,4
35,Br,Bromine,79.904,#A62929,[Ar] 3d10 4s2 4p5,2.96,114.0,196 (-1),185.0,1140.0,-325.0,liquid,covalent network,266,332,3.12,halogen,1826,17,4
36,Kr,Krypton,83.798,#5CB8D1,[Ar] 3d10 4s2 4p6,,110.0,,202.0,1351.0,0.0,gas,atomic,116,120,0,noble gas,1898,18,4
37,Rb,Rubidium,85.4678,#702EB0,[Kr] 5s1,0.82,211.0,152 (+1),,403.0,-47.0,solid,metallic,312,961,1.53,alkali metal,1861,1,5
38,Sr,Strontium,87.62,#00FF00,[Kr] 5s2,0.95,192.0,118 (+2),,550.0,-5.0,solid,metallic,1050,1655,2.63,alkaline earth metal,1790,2,5
39,Y,Yttrium,88.90585,#94FFFF,[Kr] 4d1 5s2,1.22,162.0,90 (+3),,600.0,-30.0,solid,metallic,1799,3618,4.47,transition metal,1794,3,5
40,Zr,Zirconium,91.224,#94E0E0,[Kr] 4d2 5s2,1.33,148.0,72 (+4),,640.0,-41.0,solid,metallic,2128,4682,6.51,transition metal,1789,4,5
