Year,Marriages,Divorces,Population,Marriages_per_1000,Divorces_per_1000
1867,357000,10000,36970000,9.7,0.3
1868,345000,10000,37885000,9.1,0.3
1869,348000,11000,38870000,9,0.3
1870,352000,11000,39905000,8.8,0.3
1871,359000,12000,41010000,8.8,0.3
1872,378000,12000,42066000,9,0.3
1873,386000,13000,43225000,8.9,0.3
1874,385000,14000,44429000,8.7,0.3
1875,409000,14000,45492000,9,0.3
1876,405000,15000,46459000,8.7,0.3
1877,411000,16000,47400000,8.7,0.3
1878,423000,16000,48319000,8.8,0.3
1879,438000,17000,49264000,8.9,0.3
1880,453000,20000,50262000,9,0.4
1881,464000,21000,51466000,9,0.4
1882,484000,22000,52893000,9.2,0.4
1883,501000,23000,54435000,9.2,0.4
1884,485000,23000,55826000,8.7,0.4
1885,507000,23000,57128000,8.9,0.4
1886,534000,26000,58258000,9.2,0.4
1887,513000,28000,59357000,8.6,0.5
1888,535000,29000,60614000,8.8,0.5
1889,563000,32000,61893000,9.1,0.5
1890,570000,33000,63056000,9,0.5
1891,592000,36000,64432000,9.2,0.6
1892,601000,37000,65920000,9.1,0.6
1893,601000,37000,67470000,8.9,0.5
1894,588000,38000,68910000,8.5,0.6
1895,620000,40000,70076000,8.8,0.6
1896,635000,43000,71188000,8.9,0.6
1897,643000,45000,72441000,8.9,0.6
1898,647000,48000,73600000,8.8,0.7
1899,673000,51000,74793000,9,0.7
1900,709000,56000,76094000,9.3,0.7
1901,742000,61000,77584000,9.6,0.8
1902,776000,61000,79163000,9.8,0.8
1903,818000,65000,80632000,10.1,0.8
1904,815000,66000,82166000,9.9,0.8
1905,842000,68000,83822000,10,0.8
1906,895000,72000,85450000,10.5,0.8
1907,937000,77000,87008000,10.8,0.9
1908,857000,77000,88710000,9.7,0.9
1909,897000,80000,90490000,9.9,0.9
1910,948000,83000,92407000,10.3,0.9
1911,955000,89000,93863000,10.2,0.9
1912,1005000,94000,95335000,10.5,1
1913,1021000,91000,97225000,10.5,0.9
1914,1025000,101000,99111000,10.3,1
1915,1008000,104000,100546000,10,1
1916,1076000,114000,101961000,10.6,1.1
1917,1144000,122000,103414000,11.1,1.2
1918,1000000,116000,104550000,9.6,1.1
1919,1150000,142000,105063000,10.9,1.4
1920,1274000,171000,106461000,12,1.6
1921,1164000,160000,108538000,10.7,1.5
1922,1134000,149000,110049000,10.3,1.4
1923,1230000,165000,111947000,11,1.5
1924,1185000,171000,114109000,10.4,1.5
1925,1188000,175000,115829000,10.3,1.5
1926,1203000,185000,117397000,10.2,1.6
1927,1201000,196000,119035000,10.1,1.6
1928,1182000,200000,120509000,9.8,1.7
1929,1233000,206000,121878000,10.1,1.7
1930,1127000,196000,123188000,9.1,1.6
1931,1061000,188000,124149000,8.5,1.5
1932,982000,164000,124949000,7.9,1.3
1933,1098000,165000,125690000,8.7,1.3
1934,1302000,204000,126485000,10.3,1.6
1935,1327000,218000,127362000,10.4,1.7
1936,1369000,236000,128181000,10.7,1.8
1937,1451000,249000,128961000,11.3,1.9
1938,1331000,244000,129969000,10.2,1.9
1939,1404000,251000,131028000,10.7,1.9
1940,1596000,264000,132122000,12.1,2
1941,1696000,293000,133402000,12.7,2.2
1942,1772000,321000,134860000,13.1,2.4
1943,1577000,359000,136739000,11.5,2.6
1944,1452000,400000,138397000,10.5,2.9
1945,1613000,485000,139928000,11.5,3.5
1946,2291000,610000,141389000,16.2,4.3
1947,1992000,483000,144126000,13.8,3.4
1948,1811000,408000,146631000,12.4,2.8
1949,1580000,397000,149188000,10.6,2.7
1950,1667000,385000,151684000,11,2.5
1951,1595000,381000,154287000,10.3,2.5
1952,1539000,392000,156954000,9.8,2.5
1953,1546000,390000,159565000,9.7,2.4
1954,1490000,379000,162391000,9.2,2.3
1955,1531000,377000,165275000,9.3,2.3
1956,1585000,382000,168221000,9.4,2.3
1957,1518000,381000,171274000,8.9,2.2
