mpg,cyl,displ,hp,weight,accel,origin,year,mfr
18.0,8,307.0,130,3504,12.0,North America,70,chevrolet
15.0,8,350.0,165,3693,11.5,North America,70,buick
18.0,8,318.0,150,3436,11.0,North America,70,plymouth
16.0,8,304.0,150,3433,12.0,North America,70,amc
17.0,8,302.0,140,3449,10.5,North America,70,ford
15.0,8,429.0,198,4341,10.0,North America,70,ford
14.0,8,454.0,220,4354,9.0,North America,70,chevrolet
14.0,8,440.0,215,4312,8.5,North America,70,plymouth
14.0,8,455.0,225,4425,10.0,North America,70,pontiac
15.0,8,390.0,190,3850,8.5,North America,70,amc
15.0,8,383.0,170,3563,10.0,North America,70,dodge
14.0,8,340.0,160,3609,8.0,North America,70,plymouth
15.0,8,400.0,150,3761,9.5,North America,70,chevrolet
14.0,8,455.0,225,3086,10.0,North America,70,buick
24.0,4,113.0,95,2372,15.0,Asia,70,toyota
22.0,6,198.0,95,2833,15.5,North America,70,plymouth
18.0,6,199.0,97,2774,15.5,North America,70,amc
21.0,6,200.0,85,2587,16.0,North America,70,ford
27.0,4,97.0,88,2130,14.5,Asia,70,datsun
26.0,4,97.0,46,1835,20.5,Europe,70,volkswagen
25.0,4,110.0,87,2672,17.5,Europe,70,peugeot
24.0,4,107.0,90,2430,14.5,Europe,70,audi
25.0,4,104.0,95,2375,17.5,Europe,70,saab
26.0,4,121.0,113,2234,12.5,Europe,70,bmw
21.0,6,199.0,90,2648,15.0,North America,70,amc
10.0,8,360.0,215,4615,14.0,North America,70,ford
10.0,8,307.0,200,4376,15.0,North America,70,chevrolet
11.0,8,318.0,210,4382,13.5,North America,70,dodge
9.0,8,304.0,193,4732,18.5,North America,70,hi
27.0,4,97.0,88,2130,14.5,Asia,71,datsun
28.0,4,140.0,90,2264,15.5,North America,71,chevrolet
25.0,4,113.0,95,2228,14.0,Asia,71,toyota
19.0,6,232.0,100,2634,13.0,North America,71,amc
16.0,6,225.0,105,3439,15.5,North America,71,plymouth
17.0,6,250.0,100,3329,15.5,North America,71,chevrolet
19.0,6,250.0,88,3302,15.5,North America,71,ford
18.0,6,232.0,100,3288,15.5,North America,71,amc
14.0,8,350.0,165,4209,12.0,North America,71,chevrolet
14.0,8,400.0,175,4464,11.5,North America,71,pontiac
14.0,8,351.0,153,4154,13.5,North America,71,ford
14.0,8,318.0,150,4096,13.0,North America,71,plymouth
12.0,8,383.0,180,4955,11.5,North America,71,dodge
13.0,8,400.0,170,4746,12.0,North America,71,ford
13.0,8,400.0,175,5140,12.0,North America,71,pontiac
18.0,6,258.0,110,2962,13.5,North America,71,amc
22.0,4,140.0,72,2408,19.0,North America,71,chevrolet
19.0,6,250.0,100,3282,15.0,North America,71,pontiac
18.0,6,250.0,88,3139,14.5,North America,71,ford
23.0,4,122.0,86,2220,14.0,North America,71,mercury
28.0,4,116.0,90,2123,14.0,Europe,71,opel
30.0,4,79.0,70,2074,19.5,Europe,71,peugeot
30.0,4,88.0,76,2065,14.5,Europe,71,fiat
31.0,4,71.0,65,1773,19.0,Asia,71,toyota
35.0,4,72.0,69,1613,18.0,Asia,71,datsun
27.0,4,97.0,60,1834,19.0,Europe,71,volkswagen
26.0,4,91.0,70,1955,20.5,North America,71,plymouth
24.0,4,113.0,95,2278,15.5,Asia,72,toyota
25.0,4,97.5,80,2126,17.0,North America,72,dodge
23.0,4,97.0,54,2254,23.5,Europe,72,volkswagen
20.0,4,140.0,90,2408,19.5,North America,72,chevrolet
21.0,4,122.0,86,2226,16.5,North America,72,ford
13.0,8,350.0,165,4274,12.0,North America,72,chevrolet
14.0,8,400.0,175,4385,12.0,North America,72,pontiac
15.0,8,318.0,150,4135,13.5,North America,72,plymouth
14.0,8,351.0,153,4129,13.0,North America,72,ford
17.0,8,304.0,150,3672,11.5,North America,72,amc
11.0,8,429.0,208,4633,11.0,North America,72,mercury
13.0,8,350.0,155,4502,13.5,North America,72,buick
12.0,8,350.0,160,4456,13.5,North America,72,oldsmobile
13.0,8,400.0,190,4422,12.5,North America,72,chrysler
19.0,3,70.0,97,2330,13.5,Asia,72,mazda
15.0,8,304.0,150,3892,12.5,North America,72,amc
13.0,8,307.0,130,4098,14.0,North America,72,chevrolet
13.0,8,302.0,140,4294,16.0,North America,72,ford
14.0,8,318.0,150,4077,14.0,North America,72,plymouth
18.0,4,121.0,112,2933,14.5,Europe,72,volvo
22.0,4,121.0,76,2511,18.0,Europe,72,volkswagen
21.0,4,120.0,87,2979,19.5,Europe,72,peugeot
26.0,4,96.0,69,2189,18.0,Europe,72,renault
22.0,4,122.0,86,2395,16.0,North America,72,ford
28.0,4,97.0,92,2288,17.0,Asia,72,datsun
23.0,4,120.0,97,2506,14.5,Asia,72,toyota
28.0,4,98.0,80,2164,15.0,North America,72,dodge
27.0,4,97.0,88,2100,16.5,Asia,72,toyota
13.0,8,350.0,175,4100,13.0,North America,73,buick
14.0,8,304.0,150,3672,11.5,North America,73,amc
13.0,8,350.0,145,3988,13.0,North America,73,chevrolet
14.0,8,302.0,137,4042,14.5,North America,73,ford
15.0,8,318.0,150,3777,12.5,North America,73,dodge
12.0,8,429.0,198,4952,11.5,North America,73,mercury
13.0,8,400.0,150,4464,12.0,North America,73,chevrolet
13.0,8,351.0,158,4363,13.0,North America,73,ford
14.0,8,318.0,150,4237,14.5,North America,73,plymouth
13.0,8,440.0,215,4735,11.0,North America,73,chrysler
12.0,8,455.0,225,4951,11.0,North America,73,buick
13.0,8,360.0,175,3821,11.0,North America,73,amc
18.0,6,225.0,105,3121,16.5,North America,73,plymouth
16.0,6,250.0,100,3278,18.0,North America,73,chevrolet
18.0,6,232.0,100,2945,16.0,North America,73,amc
18.0,6,250.0,88,3021,16.5,North America,73,ford
23.0,6,198.0,95,2904,16.0,North America,73,plymouth
26.0,4,97.0,46,1950,21.0,Europe,73,volkswagen
11.0,8,400.0,150,4997,14.0,North America,73,chevrolet
12.0,8,400.0,167,4906,12.5,North America,73,ford
13.0,8,360.0,170,4654,13.0,North America,73,plymouth
12.0,8,350.0,180,4499,12.5,North America,73,oldsmobile
18.0,6,232.0,100,2789,15.0,North America,73,amc
20.0,4,97.0,88,2279,19.0,Asia,73,toyota
21.0,4,140.0,72,2401,19.5,North America,73,chevrolet
22.0,4,108.0,94,2379,16.5,Asia,73,datsun
18.0,3,70.0,90,2124,13.5,Asia,73,mazda
19.0,4,122.0,85,2310,18.5,North America,73,ford
21.0,6,155.0,107,2472,14.0,North America,73,mercury
26.0,4,98.0,90,2265,15.5,Europe,73,fiat
15.0,8,350.0,145,4082,13.0,North America,73,chevrolet
16.0,8,400.0,230,4278,9.5,North America,73,pontiac
29.0,4,68.0,49,1867,19.5,Europe,73,fiat
24.0,4,116.0,75,2158,15.5,Europe,73,opel
20.0,4,114.0,91,2582,14.0,Europe,73,audi
19.0,4,121.0,112,2868,15.5,Europe,73,volvo
15.0,8,318.0,150,3399,11.0,North America,73,dodge
24.0,4,121.0,110,2660,14.0,Europe,73,saab
20.0,6,156.0,122,2807,13.5,Asia,73,toyota
11.0,8,350.0,180,3664,11.0,North America,73,oldsmobile
20.0,6,198.0,95,3102,16.5,North America,74,plymouth
19.0,6,232.0,100,2901,16.0,North America,74,amc
15.0,6,250.0,100,3336,17.0,North America,74,chevrolet
31.0,4,79.0,67,1950,19.0,Asia,74,datsun
26.0,4,122.0,80,2451,16.5,North America,74,ford
32.0,4,71.0,65,1836,21.0,Asia,74,toyota
25.0,4,140.0,75,2542,17.0,North America,74,chevrolet
16.0,6,250.0,100,3781,17.0,North America,74,chevrolet
