Data Source,State,Technology,Year,Generation (MWh)
Historical,AL,bio,2010,3485537
Historical,AL,bio,2012,3273192
Historical,AL,bio,2014,1774682
Historical,AL,coal,2010,62798863
Historical,AL,coal,2012,46045176
Historical,AL,coal,2014,47538347
Historical,AL,gas,2010,38858728
Historical,AL,gas,2012,55072015
Historical,AL,gas,2014,47615489
Historical,AL,nuclear,2010,37940821
Historical,AL,nuclear,2012,40841212
Historical,AL,nuclear,2014,41243689
Historical,AL,oil,2010,1818
Historical,AL,oil,2012,831
Historical,AL,oil,2014,152
Historical,AL,other,2010,360489
Historical,AL,other,2012,211031
Historical,AL,other,2014,186611
Historical,AL,water,2010,8567850
Historical,AL,water,2012,7336749
Historical,AL,water,2014,8661887
Historical,AL,wind,2010,0
Historical,AL,wind,2012,0
Historical,AL,wind,2014,0
Historical,AR,bio,2010,1823316
Historical,AR,bio,2012,1835039
Historical,AR,bio,2014,1637404
Historical,AR,coal,2010,28072484
Historical,AR,coal,2012,28378831
Historical,AR,coal,2014,33202399
Historical,AR,gas,2010,12417635
Historical,AR,gas,2012,17057791
Historical,AR,gas,2014,9313536
Historical,AR,nuclear,2010,15022678
Historical,AR,nuclear,2012,15493131
Historical,AR,nuclear,2014,14480650
Historical,AR,oil,2010,26
Historical,AR,oil,2012,8
Historical,AR,oil,2014,0
Historical,AR,water,2010,3658441
Historical,AR,water,2012,2240882
Historical,AR,water,2014,2059284
Historical,AZ,bio,2010,181943
Historical,AZ,bio,2012,232614
Historical,AZ,bio,2014,170106
Historical,AZ,coal,2010,43365893
Historical,AZ,coal,2012,40416850
Historical,AZ,coal,2014,42502814
Historical,AZ,gas,2010,30020708
Historical,AZ,gas,2012,30038020
Historical,AZ,gas,2014,27196340
Historical,AZ,nuclear,2010,31199935
Historical,AZ,nuclear,2012,31933916
Historical,AZ,nuclear,2014,32320917
Historical,AZ,oil,2010,614
Historical,AZ,oil,2012,132
Historical,AZ,oil,2014,289
Historical,AZ,other,2010,0
Historical,AZ,other,2012,0
Historical,AZ,other,2014,0
Historical,AZ,solar,2010,18254
Historical,AZ,solar,2012,949311
Historical,AZ,solar,2014,2564007
Historical,AZ,water,2010,6993453
Historical,AZ,water,2012,6922422
Historical,AZ,water,2014,6270729
Historical,AZ,wind,2010,134916
Historical,AZ,wind,2012,249411
Historical,AZ,wind,2014,447573
Historical,CA,bio,2010,6398217
Historical,CA,bio,2012,6320158
Historical,CA,bio,2014,2791782
Historical,CA,coal,2010,3039345
Historical,CA,coal,2012,1479174
Historical,CA,coal,2014,763231
Historical,CA,gas,2010,107727537
Historical,CA,gas,2012,119542078
Historical,CA,gas,2014,96941433
Historical,CA,geo,2010,12600106
Historical,CA,geo,2012,12518998
Historical,CA,geo,2014,8298002
Historical,CA,nuclear,2010,32200757
Historical,CA,nuclear,2012,18507408
Historical,CA,nuclear,2014,16985978
Historical,CA,oil,2010,48649
Historical,CA,oil,2012,43508
Historical,CA,oil,2014,38541
Historical,CA,other,2010,1811226
Historical,CA,other,2012,1941372
Historical,CA,other,2014,1365086
Historical,CA,solar,2010,981325
Historical,CA,solar,2012,1585110
Historical,CA,solar,2014,7907767
Historical,CA,water,2010,35195062
Historical,CA,water,2012,28879363
Historical,CA,water,2014,15414942
Historical,CA,wind,2010,6074272
Historical,CA,wind,2012,9405850
Historical,CA,wind,2014,12050479
Historical,CO,bio,2010,57981
Historical,CO,bio,2012,57984
Historical,CO,bio,2014,0
Historical,CO,coal,2010,34944958
Historical,CO,coal,2012,34842693
Historical,CO,coal,2014,32639309
Historical,CO,gas,2010,10692186
Historical,CO,gas,2012,10211238
Historical,CO,gas,2014,11547637
Historical,CO,oil,2010,4104
Historical,CO,oil,2012,2570
Historical,CO,oil,2014,-694
Historical,CO,other,2010,69740
Historical,CO,other,2012,55368
Historical,CO,other,2014,0
Historical,CO,solar,2010,41270
Historical,CO,solar,2012,240873
Historical,CO,solar,2014,142147
Historical,CO,water,2010,1914345
Historical,CO,water,2012,2072308
Historical,CO,water,2014,1286608
Historical,CO,wind,2010,3451851
Historical,CO,wind,2012,5884424
Historical,CO,wind,2014,7285395
Historical,CT,bio,2010,1299337
Historical,CT,bio,2012,1284471
Historical,CT,bio,2014,962723
Historical,CT,coal,2010,2620234
Historical,CT,coal,2012,103383
Historical,CT,coal,2014,832154
Historical,CT,gas,2010,11454923
Historical,CT,gas,2012,16275798
Historical,CT,gas,2014,13407529
Historical,CT,nuclear,2010,16750304
Historical,CT,nuclear,2012,17077887
Historical,CT,nuclear,2014,15840619
Historical,CT,oil,2010,664833
Historical,CT,oil,2012,359017
Historical,CT,oil,2014,565999
Historical,CT,other,2010,159828
Historical,CT,other,2012,141930
Historical,CT,other,2014,0
Historical,CT,solar,2010,0
Historical,CT,solar,2012,0
Historical,CT,solar,2014,0
Historical,CT,water,2010,407884
Historical,CT,water,2012,324693
Historical,CT,water,2014,16702
Historical,CT,wind,2010,0
Historical,CT,wind,2012,0
Historical,CT,wind,2014,0
Historical,DE,bio,2010,44727
Historical,DE,bio,2012,61529
Historical,DE,bio,2014,0
Historical,DE,coal,2010,2363203
Historical,DE,coal,2012,1436728
Historical,DE,coal,2014,871739
Historical,DE,gas,2010,3216415
Historical,DE,gas,2012,6819602
Historical,DE,gas,2014,5975522
Historical,DE,oil,2010,743
Historical,DE,oil,2012,339
Historical,DE,oil,2014,1321
Historical,DE,other,2010,0
Historical,DE,other,2012,289300
Historical,DE,other,2014,338781
Historical,DE,solar,2010,0
Historical,DE,solar,2012,22561
Historical,DE,solar,2014,0
Historical,DE,wind,2010,2557
Historical,DE,wind,2012,3637
Historical,DE,wind,2014,0
Historical,FL,bio,2010,6096920
Historical,FL,bio,2012,5677166
Historical,FL,bio,2014,3615364
Historical,FL,coal,2010,62424285
Historical,FL,coal,2012,46851344
Historical,FL,coal,2014,52925149
Historical,FL,gas,2010,123700478
Historical,FL,gas,2012,141510892
Historical,FL,gas,2014,134046063
Historical,FL,nuclear,2010,23935922
Historical,FL,nuclear,2012,17869935
Historical,FL,nuclear,2014,27868270
Historical,FL,oil,2010,9431688
Historical,FL,oil,2012,5977938
Historical,FL,oil,2014,2219012
Historical,FL,other,2010,3245153
Historical,FL,other,2012,2951798
Historical,FL,other,2014,2667634
Historical,FL,solar,2010,80441
Historical,FL,solar,2012,105276
Historical,FL,solar,2014,64972
Historical,FL,water,2010,177473
Historical,FL,water,2012,150512
Historical,FL,water,2014,0
Historical,GA,bio,2010,3852668
Historical,GA,bio,2012,3863895
Historical,GA,bio,2014,2842274
Historical,GA,coal,2010,68076022
Historical,GA,coal,2012,39203291
Historical,GA,coal,2014,44700418
Historical,GA,gas,2010,29078610
Historical,GA,gas,2012,43604552
Historical,GA,gas,2014,41714720
Historical,GA,nuclear,2010,33512033
Historical,GA,nuclear,2012,33941634
Historical,GA,nuclear,2014,32570182
Historical,GA,oil,2010,13842
Historical,GA,oil,2012,-953
Historical,GA,oil,2014,10220
Historical,GA,solar,2010,0
Historical,GA,solar,2012,2457
Historical,GA,solar,2014,61393
Historical,GA,water,2010,6471329
Historical,GA,water,2012,4695805
Historical,GA,water,2014,5400240
Historical,IA,bio,2010,108804
Historical,IA,bio,2012,106429
Historical,IA,bio,2014,0
Historical,IA,coal,2010,40030157
Historical,IA,coal,2012,34893244
Historical,IA,coal,2014,31785014
Historical,IA,gas,2010,2760179
Historical,IA,gas,2012,2488729
Historical,IA,gas,2014,1965092
Historical,IA,nuclear,2010,4450640
Historical,IA,nuclear,2012,4346995
Historical,IA,nuclear,2014,4152468
Historical,IA,oil,2010,23910
Historical,IA,oil,2012,41303
Historical,IA,oil,2014,7483
Historical,IA,solar,2010,0
Historical,IA,solar,2012,0
Historical,IA,solar,2014,0
Historical,IA,water,2010,948170
Historical,IA,water,2012,766190
Historical,IA,water,2014,869780
Historical,IA,wind,2010,9168254
Historical,IA,wind,2012,13959226
Historical,IA,wind,2014,15864898
Historical,ID,bio,2010,528930
Historical,ID,bio,2012,582628
Historical,ID,bio,2014,438998
Historical,ID,coal,2010,91062
Historical,ID,coal,2012,92473
Historical,ID,coal,2014,0
Historical,ID,gas,2010,1657843
Historical,ID,gas,2012,1849066
Historical,ID,gas,2014,2389043
Historical,ID,geo,2010,71840
Historical,ID,geo,2012,74675
Historical,ID,geo,2014,0
Historical,ID,oil,2010,75
Historical,ID,oil,2012,20
Historical,ID,oil,2014,26
Historical,ID,other,2010,78725
Historical,ID,other,2012,69258
Historical,ID,other,2014,0
Historical,ID,water,2010,9156533
Historical,ID,water,2012,10942842
Historical,ID,water,2014,7176825
Historical,ID,wind,2010,440747
Historical,ID,wind,2012,1890567
Historical,ID,wind,2014,1622791
Historical,IL,bio,2010,670166
Historical,IL,bio,2012,615009
Historical,IL,bio,2014,0
Historical,IL,coal,2010,93892727
Historical,IL,coal,2012,81013442
Historical,IL,coal,2014,86878032
Historical,IL,gas,2010,5488290
Historical,IL,gas,2012,11061567
Historical,IL,gas,2014,4679512
Historical,IL,nuclear,2010,96189587
Historical,IL,nuclear,2012,96401309
Historical,IL,nuclear,2014,97857900
Historical,IL,oil,2010,4034
Historical,IL,oil,2012,7534
Historical,IL,oil,2014,2923
Historical,IL,other,2010,520731
Historical,IL,other,2012,597006
Historical,IL,other,2014,0
Historical,IL,solar,2010,14145
Historical,IL,solar,2012,30657
Historical,IL,solar,2014,0
Historical,IL,water,2010,118544
Historical,IL,water,2012,111211
Historical,IL,water,2014,63255
Historical,IL,wind,2010,4453637
Historical,IL,wind,2012,7683445
Historical,IL,wind,2014,10043113
Historical,IN,bio,2010,356865
Historical,IN,bio,2012,380408
Historical,IN,bio,2014,279415
Historical,IN,coal,2010,112670230
Historical,IN,coal,2012,92793528
Historical,IN,coal,2014,95910174
Historical,IN,gas,2010,5743730
Historical,IN,gas,2012,13763095
Historical,IN,gas,2014,8089918
Historical,IN,oil,2010,4931
Historical,IN,oil,2012,14809
Historical,IN,oil,2014,510
Historical,IN,other,2010,3040740
Historical,IN,other,2012,4119409
Historical,IN,other,2014,5484911
Historical,IN,solar,2010,0
Historical,IN,solar,2012,0
Historical,IN,solar,2014,0
Historical,IN,water,2010,453712
Historical,IN,water,2012,433504
Historical,IN,water,2014,345570
Historical,IN,wind,2010,2929861
Historical,IN,wind,2012,3210102
Historical,IN,wind,2014,3447562
Historical,KS,bio,2010,54286
Historical,KS,bio,2012,57347
Historical,KS,bio,2014,0
Historical,KS,coal,2010,32200103
Historical,KS,coal,2012,27979593
Historical,KS,coal,2014,28837070
Historical,KS,gas,2010,2687754
Historical,KS,gas,2012,2880980
Historical,KS,gas,2014,1236571
Historical,KS,nuclear,2010,9555712
Historical,KS,nuclear,2012,8284924
Historical,KS,nuclear,2014,8558384
Historical,KS,oil,2010,7616
Historical,KS,oil,2012,16136
Historical,KS,oil,2014,1412
Historical,KS,other,2010,0
Historical,KS,other,2012,0
Historical,KS,other,2014,0
Historical,KS,solar,2010,0
Historical,KS,solar,2012,0
Historical,KS,solar,2014,0
Historical,KS,water,2010,13216
Historical,KS,water,2012,10400
Historical,KS,water,2014,0
Historical,KS,wind,2010,3405064
Historical,KS,wind,2012,5057240
Historical,KS,wind,2014,10802671
Historical,KY,bio,2010,458493
Historical,KY,bio,2012,342844
Historical,KY,bio,2014,371239
Historical,KY,coal,2010,93401015
