Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,10474903,10697983,10927724,11163656,11411022,11676990,11964906,12273101,12593688,12915499,13223928,13505544,13766792,14003408,14179656,14249493,14185729,13984092,13672870,13300056,12931791,12625292,12372113,12183387,12156685,12414686,13032161,14069854,15472076,17053213,18553819,19789880,20684982,21299350,21752257,22227543,22856302,23677385,24639841,25678639,26693486,27614718,28420974,29145841,29839994,30577756,31411743,32358260,33397058,34499915
Albania,1817098,1869942,1922993,1976140,2029314,2082474,2135599,2188650,2241623,2294578,2347607,2400801,2454255,2508026,2562121,2616530,2671300,2725029,2777592,2831682,2891004,2957390,3033393,3116009,3194854,3255859,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,3215988,3227373,3238316
Algeria,11654905,11923002,12229853,12572629,12945462,13338918,13746185,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,35980193,36485828,36983924
American Samoa,22672,23480,24283,25087,25869,26608,27288,27907,28470,28983,29453,29897,30305,30696,31139,31727,32526,33557,34797,36203,37706,39253,40834,42446,44048,45595,47052,48402,49648,50801,51885,52919,53901,54834,55745,56667,57625,58633,59687,60774,61871,62962,64045,65130,66217,67312,68420,69543,70680,71834
Andorra,17438,18529,19640,20772,21931,23127,24364,25656,26997,28357,29688,30967,32156,33279,34432,35753,37328,39226,41390,43636,45702,47414,48653,49504,50236,51241,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,86165,87518,88909
Angola,5337063,5431135,5524090,5617242,5713156,5815282,5926333,6047736,6179685,6322194,6474796,6637419,6808850,6989988,7185188,7400231,7638420,7903368,8191774,8491682,8786652,9065562,9322550,9562796,9799680,10052567,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,19618432,20162517,20714494
Anguilla,6057,6114,6171,6228,6287,6344,6400,6454,6506,6554,6596,6630,6662,6691,6713,6716,6698,6651,6586,6536,6551,6661,6881,7197,7575,7964,8332,8669,8985,9277,9549,9805,10036,10244,10461,10727,11068,11498,12003,12548,13083,13574,14008,14393,14737,15055,15358,15645,15911,16158
Antigua and Barbuda,58653,59844,61032,62226,63401,64528,65587,66554,67419,68182,68848,69420,69910,70301,70533,70525,70228,69639,68803,67792,66701,65614,64539,63510,62669,62192,62202,62754,63802,65238,66895,68642,70450,72322,74190,75985,77656,79165,80507,81716,82838,83916,84952,85935,86881,87802,88710,89612,90510,91404
Argentina,21966478,22296628,22622012,22944941,23273148,23616971,23983358,24376109,24791983,25222223,25654154,26078731,26492716,26899177,27303001,27711808,28131040,28561561,29001060,29447973,29899743,30354240,30810984,31269799,31729130,32187173,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298,40062470,40412376,40764561,41118986,41473982
Armenia,2138133,2204650,2269475,2332624,2394635,2456370,2518408,2580894,2643464,2705584,2766495,2825650,2882831,2938181,2991954,3044564,3096298,3145885,3192877,3239212,3287588,3339147,3396511,3457054,3510439,3542720,3544695,3512051,3449940,3370373,3290540,3223173,3172185,3134836,3109101,3090624,3076098,3065810,3061067,3060554,3062612,3065954,3069844,3074181,3079087,3084979,3092072,3100236,3108972,3117722
Aruba,57031,57362,57714,58052,58388,58725,59066,59439,59849,60238,60524,60654,60589,60366,60108,59980,60099,60570,61347,62208,62833,63030,62645,61830,61069,61026,62147,64642,68286,72573,76762,80323,83069,85161,86827,88442,90271,92363,94596,96875,99046,100996,102711,104225,105526,106612,107488,108141,108587,108883
Australia,11122567,11359763,11617580,11892163,12175746,12457299,12728362,12987847,13236895,13472175,13690285,13889696,14067994,14227905,14379565,14536839,14709918,14901610,15109659,15332790,15567927,15812088,16066496,16330369,16596096,16853690,17096153,17320633,17529469,17727413,17921818,18118416,18319637,18525153,18734878,18947894,19164351,19382188,19604051,19840120,20103822,20403520,20744295,21119988,21513817,21902300,22268384,22605732,22918688,23213944
Austria,7220812,7268015,7312775,7355039,7394601,7431574,7465908,7497731,7526469,7550638,7568347,7578498,7580564,7575669,7566450,7556551,7548798,7544359,7543194,7545472,7550960,7559621,7570906,7585345,7605095,7632984,7670513,7719577,7778255,7839625,7894229,7935624,7960464,7971553,7976117,7984694,8004712,8038480,8083059,8134235,8185553,8232196,8273208,8309783,8341806,8369639,8393644,8413429,8428915,8441263
Azerbaijan,4440733,4574500,4702919,4826262,4944932,5059921,5172002,5281238,5387375,5490572,5591016,5688997,5784587,5878259,5971198,6064905,6160502,6258490,6358780,6461139,6565062,6670151,6775858,6882160,6989708,7099449,7211692,7327570,7445925,7562075,7669735,7764798,7845310,7913692,7975648,8039312,8110723,8191464,8280252,8376733,8479668,8587902,8701719,8821012,8943600,9066604,9187783,9306023,9421233,9533445
Bahamas,133709,140063,146379,152623,158644,164263,169367,173875,177849,181490,185091,188870,192885,197090,201474,205990,210600,215330,220188,225083,229899,234553,238989,243236,247409,251671,256128,260845,265761,270701,275426,279774,283677,287217,290571,293988,297651,301606,305801,310201,314739,319358,324066,328861,333661,338358,342877,347176,351275,355233
Bahrain,181833,186351,190734,195111,199818,205291,211878,219532,228255,238468,250683,265160,282245,301559,321751,340980,357957,372074,383785,394164,404829,416929,430845,446142,462184,477995,492891,506685,519696,532362,545329,559069,574914,592986,611237,626765,638193,642510,642070,647164,671760,724807,811410,925733,1052359,1169578,1261835,1323535,1359485,1377273
Bangladesh,56071080,57791778,59681186,61702785,63703327,65474474,66881158,67849312,68461849,68933357,69567500,70582168,72053923,73915723,76066342,78342736,80624423,82883616,85156396,87459802,89828434,92283598,94825499,97429290,100062322,102681627,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131,150493658,152408774,154393847
Barbados,234455,235271,235912,236443,236974,237657,238593,239841,241345,242949,244433,245646,246523,247128,247589,248101,248796,249716,250809,252017,253244,254419,255532,256602,257621,258588,259501,260351,261136,261885,262637,263416,264237,265088,265941,266758,267511,268192,268813,269389,269947,270503,271062,271618,272180,272750,273331,273925,274530,275141
Belarus,8521413,8607003,8695396,8785093,8874033,8959479,9039503,9113454,9181971,9246050,9307285,9367004,9425089,9481560,9538046,9596589,9658500,9724106,9792555,9862430,9931687,9998503,10062440,10122880,10177584,10223861,10259700,10284522,10298479,10301336,10293127,10274231,10244354,10204382,10157409,10107518,10057810,10009810,9963383,9917927,9872110,9825102,9776823,9728228,9680690,9636016,9595421,9559441,9527498,9498290
Belgium,9384939,9435244,9479970,9519500,9555402,9590007,9624908,9660688,9696539,9730978,9761867,9787677,9808403,9824685,9836487,9843898,9847297,9846320,9841800,9836784,9835279,9840123,9852488,9871551,9895654,9922158,9949019,9976325,10004469,10032084,10057529,10079873,10098192,10113392,10128653,10148371,10175684,10211264,10254025,10303108,10356993,10414209,10474993,10538758,10602167,10660938,10712066,10754056,10787788,10815599
Belize,103555,106546,109704,112987,116283,119435,122336,124973,127389,129600,131642,133562,135334,137009,138806,141014,143829,147358,151535,156171,160991,165792,170504,175192,179952,184935,190241,195895,201832,207962,214153,220311,226403,232446,238457,244471,250512,256582,262667,268760,274855,280947,287035,293124,299237,305398,311627,317928,324292,330721
Benin,2561022,2602490,2646310,2692610,2741672,2793872,2849508,2908713,2971515,3037990,3108179,3182130,3259918,3341618,3427274,3516917,3610578,3708675,3811326,3917941,4027682,4140176,4254522,4371470,4494242,4627194,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892,9099922,9351838,9606534
Bermuda,48092,48839,49516,50128,50690,51230,51765,52301,52831,53347,53832,54278,54682,55051,55396,55730,56064,56400,56739,57084,57441,57812,58201,58606,59016,59416,59795,60150,60483,60799,61104,61405,61701,61990,62275,62555,62834,63112,63388,63655,63905,64130,64328,64502,64657,64802,64941,65077,65208,65335
Bhutan,251419,258559,266072,274000,282495,291747,301879,312929,324815,337370,350365,363603,377068,390732,404375,417734,430633,442648,453793,464831,476846,490438,506423,524133,540918,553157,558500,555747,546356,533895,523417,518584,520529,528222,540507,555377,571262,588050,606024,624431,642400,659293,674681,688581,701363,713665,725940,738267,750443,762313
Bolivia,3668568,3752892,3839751,3929192,4021551,4117259,4216572,4319564,4426012,4535500,4647442,4761344,4877275,4995172,5114274,5233624,5352649,5471025,5589245,5708585,5830816,5957291,6088253,6223523,6363470,6508417,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849,10088108,10248042,10409761
Bosnia and Herzegovina,3357005,3396402,3432671,3466307,3498470,3530780,3564389,3599885,3636930,3674638,3711662,3747109,3780559,3812557,3844329,3877598,3913536,3949509,3984259,4021590,4066739,4121595,4194370,4279632,4349682,4367069,4308197,4157485,3931372,3677379,3462032,3332098,3305672,3365616,3480285,3601438,3693698,3748370,3775883,3782717,3781358,3781001,3781588,3779034,3774164,3767683,3760149,3752228,3744235,3735880
Botswana,579518,595697,612903,631226,650676,671247,692959,715745,739683,765101,792432,821942,853774,887716,923234,959584,996211,1032889,1069707,1106802,1144442,1182803,1221790,1261235,1301146,1341540,1382371,1423570,1464924,1506037,1546414,1585637,1623704,1660538,1695587,1728179,1757925,1784449,1808103,1830127,1852243,1875673,1900905,1927540,1954822,1981576,2006945,2030738,2053237,2074616
Brazil,82021855,84388983,86735163,89068235,91394916,93727990,96078304,98445131,100828667,103242395,105703409,108224080,110804816,113442106,116138507,118895875,121711864,124588432,127514673,130459023,133380123,136246764,139049440,141791325,144470377,147088677,149650206,152146887,154582103,156985824,159398558,161848162,164342524,166869168,169409713,171936271,174425387,176877135,179289227,181633074,183873377,185986964,187958211,189798070,191543237,193246610,194946470,196655014,198360943,200050487
