Date,Sunrise,Sunset,Summer
2013-01-01,7:45,15:34,0
2013-01-02,7:45,15:35,0
2013-01-03,7:45,15:36,0
2013-01-04,7:45,15:37,0
2013-01-05,7:44,15:38,0
2013-01-06,7:44,15:39,0
2013-01-07,7:44,15:41,0
2013-01-08,7:43,15:42,0
2013-01-09,7:43,15:43,0
2013-01-10,7:42,15:45,0
2013-01-11,7:41,15:46,0
2013-01-12,7:41,15:48,0
2013-01-13,7:40,15:49,0
2013-01-14,7:39,15:51,0
2013-01-15,7:38,15:52,0
2013-01-16,7:37,15:54,0
2013-01-17,7:36,15:56,0
2013-01-18,7:35,15:57,0
2013-01-19,7:34,15:59,0
2013-01-20,7:33,16:01,0
2013-01-21,7:32,16:02,0
2013-01-22,7:31,16:04,0
2013-01-23,7:30,16:06,0
2013-01-24,7:28,16:07,0
2013-01-25,7:27,16:09,0
2013-01-26,7:26,16:11,0
2013-01-27,7:24,16:13,0
2013-01-28,7:23,16:15,0
2013-01-29,7:22,16:16,0
2013-01-30,7:20,16:18,0
2013-01-31,7:19,16:20,0
2013-02-01,7:17,16:22,0
2013-02-02,7:15,16:24,0
2013-02-03,7:14,16:26,0
2013-02-04,7:12,16:28,0
2013-02-05,7:10,16:30,0
2013-02-06,7:09,16:31,0
2013-02-07,7:07,16:33,0
2013-02-08,7:05,16:35,0
2013-02-09,7:03,16:37,0
2013-02-10,7:01,16:39,0
2013-02-11,7:00,16:41,0
2013-02-12,6:58,16:43,0
2013-02-13,6:56,16:45,0
2013-02-14,6:54,16:46,0
2013-02-15,6:52,16:48,0
2013-02-16,6:50,16:50,0
2013-02-17,6:48,16:52,0
2013-02-18,6:46,16:54,0
2013-02-19,6:44,16:56,0
2013-02-20,6:42,16:58,0
2013-02-21,6:40,17:00,0
2013-02-22,6:38,17:01,0
2013-02-23,6:35,17:03,0
2013-02-24,6:33,17:05,0
2013-02-25,6:31,17:07,0
2013-02-26,6:29,17:09,0
2013-02-27,6:27,17:11,0
2013-02-28,6:25,17:12,0
2013-03-01,6:22,17:14,0
2013-03-02,6:20,17:16,0
2013-03-03,6:18,17:18,0
2013-03-04,6:16,17:20,0
2013-03-05,6:14,17:21,0
2013-03-06,6:11,17:23,0
2013-03-07,6:09,17:25,0
2013-03-08,6:07,17:27,0
2013-03-09,6:04,17:29,0
2013-03-10,6:02,17:30,0
2013-03-11,6:00,17:32,0
2013-03-12,5:58,17:34,0
2013-03-13,5:55,17:36,0
2013-03-14,5:53,17:38,0
2013-03-15,5:51,17:39,0
2013-03-16,5:48,17:41,0
2013-03-17,5:46,17:43,0
2013-03-18,5:44,17:45,0
2013-03-19,5:41,17:46,0
2013-03-20,5:39,17:48,0
2013-03-21,5:37,17:50,0
2013-03-22,5:34,17:52,0
2013-03-23,5:32,17:53,0
2013-03-24,5:30,17:55,0
2013-03-25,5:27,17:57,0
2013-03-26,5:25,17:58,0
2013-03-27,5:23,18:00,0
2013-03-28,5:20,18:02,0
2013-03-29,5:18,18:04,0
2013-03-30,5:16,18:05,0
2013-03-31,6:13,19:07,1
2013-04-01,6:11,19:09,1
2013-04-02,6:09,19:11,1
2013-04-03,6:06,19:12,1
2013-04-04,6:04,19:14,1
2013-04-05,6:02,19:16,1
2013-04-06,5:59,19:17,1
2013-04-07,5:57,19:19,1
2013-04-08,5:55,19:21,1
2013-04-09,5:53,19:23,1
2013-04-10,5:50,19:24,1
2013-04-11,5:48,19:26,1
2013-04-12,5:46,19:28,1
2013-04-13,5:44,19:30,1
2013-04-14,5:41,19:31,1
2013-04-15,5:39,19:33,1
2013-04-16,5:37,19:35,1
2013-04-17,5:35,19:36,1
2013-04-18,5:33,19:38,1
2013-04-19,5:30,19:40,1
2013-04-20,5:28,19:42,1
2013-04-21,5:26,19:43,1
2013-04-22,5:24,19:45,1
2013-04-23,5:22,19:47,1
2013-04-24,5:20,19:48,1
2013-04-25,5:18,19:50,1
2013-04-26,5:16,19:52,1
2013-04-27,5:14,19:54,1
2013-04-28,5:12,19:55,1
2013-04-29,5:10,19:57,1
2013-04-30,5:08,19:59,1
2013-05-01,5:06,20:00,1
2013-05-02,5:04,20:02,1
2013-05-03,5:02,20:04,1
2013-05-04,5:00,20:05,1
2013-05-05,4:58,20:07,1
2013-05-06,4:56,20:09,1
2013-05-07,4:55,20:10,1
2013-05-08,4:53,20:12,1
2013-05-09,4:51,20:14,1
2013-05-10,4:49,20:15,1
2013-05-11,4:48,20:17,1
2013-05-12,4:46,20:19,1
2013-05-13,4:44,20:20,1
2013-05-14,4:43,20:22,1
2013-05-15,4:41,20:23,1
2013-05-16,4:40,20:25,1
2013-05-17,4:38,20:26,1
2013-05-18,4:37,20:28,1
2013-05-19,4:35,20:29,1
2013-05-20,4:34,20:31,1
2013-05-21,4:33,20:32,1
2013-05-22,4:31,20:34,1
2013-05-23,4:30,20:35,1
2013-05-24,4:29,20:37,1
2013-05-25,4:28,20:38,1
2013-05-26,4:27,20:39,1
2013-05-27,4:26,20:41,1
2013-05-28,4:24,20:42,1
2013-05-29,4:23,20:43,1
2013-05-30,4:23,20:44,1
2013-05-31,4:22,20:46,1
2013-06-01,4:21,20:47,1
2013-06-02,4:20,20:48,1
2013-06-03,4:19,20:49,1
2013-06-04,4:18,20:50,1
2013-06-05,4:18,20:51,1
2013-06-06,4:17,20:52,1
2013-06-07,4:17,20:53,1
2013-06-08,4:16,20:54,1
2013-06-09,4:16,20:55,1
2013-06-10,4:15,20:55,1
2013-06-11,4:15,20:56,1
2013-06-12,4:15,20:57,1
2013-06-13,4:14,20:58,1
2013-06-14,4:14,20:58,1
2013-06-15,4:14,20:59,1
2013-06-16,4:14,20:59,1
2013-06-17,4:14,21:00,1
2013-06-18,4:14,21:00,1
2013-06-19,4:14,21:00,1
2013-06-20,4:14,21:01,1
2013-06-21,4:14,21:01,1
2013-06-22,4:15,21:01,1
2013-06-23,4:15,21:01,1
2013-06-24,4:15,21:01,1
2013-06-25,4:16,21:01,1
2013-06-26,4:16,21:01,1
2013-06-27,4:17,21:01,1
2013-06-28,4:17,21:01,1
2013-06-29,4:18,21:01,1
2013-06-30,4:18,21:01,1
2013-07-01,4:19,21:01,1
2013-07-02,4:20,21:00,1
2013-07-03,4:20,21:00,1
2013-07-04,4:21,20:59,1
2013-07-05,4:22,20:59,1
2013-07-06,4:23,20:58,1
2013-07-07,4:24,20:58,1
2013-07-08,4:25,20:57,1
2013-07-09,4:26,20:56,1
2013-07-10,4:27,20:56,1
2013-07-11,4:28,20:55,1
2013-07-12,4:29,20:54,1
2013-07-13,4:30,20:53,1
2013-07-14,4:31,20:52,1
2013-07-15,4:33,20:51,1
2013-07-16,4:34,20:50,1
2013-07-17,4:35,20:49,1
2013-07-18,4:36,20:48,1
2013-07-19,4:38,20:47,1
2013-07-20,4:39,20:46,1
2013-07-21,4:40,20:44,1
2013-07-22,4:42,20:43,1
2013-07-23,4:43,20:42,1
2013-07-24,4:45,20:40,1
2013-07-25,4:46,20:39,1
2013-07-26,4:48,20:37,1
2013-07-27,4:49,20:36,1
2013-07-28,4:51,20:34,1
2013-07-29,4:52,20:33,1
2013-07-30,4:54,20:31,1
2013-07-31,4:55,20:30,1
2013-08-01,4:57,20:28,1
2013-08-02,4:58,20:26,1
2013-08-03,5:00,20:25,1
2013-08-04,5:01,20:23,1
2013-08-05,5:03,20:21,1
2013-08-06,5:05,20:19,1
2013-08-07,5:06,20:17,1
2013-08-08,5:08,20:16,1
2013-08-09,5:09,20:14,1
2013-08-10,5:11,20:12,1
2013-08-11,5:13,20:10,1
2013-08-12,5:14,20:08,1
2013-08-13,5:16,20:06,1
2013-08-14,5:17,20:04,1
2013-08-15,5:19,20:02,1
2013-08-16,5:21,20:00,1
2013-08-17,5:22,19:58,1
2013-08-18,5:24,19:56,1
2013-08-19,5:26,19:54,1
2013-08-20,5:27,19:52,1
2013-08-21,5:29,19:49,1
2013-08-22,5:31,19:47,1
2013-08-23,5:32,19:45,1
2013-08-24,5:34,19:43,1
2013-08-25,5:36,19:41,1
2013-08-26,5:37,19:39,1
2013-08-27,5:39,19:36,1
2013-08-28,5:40,19:34,1
2013-08-29,5:42,19:32,1
2013-08-30,5:44,19:30,1
2013-08-31,5:45,19:27,1
2013-09-01,5:47,19:25,1
2013-09-02,5:49,19:23,1
2013-09-03,5:50,19:20,1
2013-09-04,5:52,19:18,1
2013-09-05,5:54,19:16,1
2013-09-06,5:55,19:14,1
2013-09-07,5:57,19:11,1
2013-09-08,5:59,19:09,1
2013-09-09,6:00,19:07,1
2013-09-10,6:02,19:04,1
2013-09-11,6:03,19:02,1
2013-09-12,6:05,19:00,1
2013-09-13,6:07,18:57,1
2013-09-14,6:08,18:55,1
2013-09-15,6:10,18:52,1
2013-09-16,6:12,18:50,1
2013-09-17,6:13,18:48,1
2013-09-18,6:15,18:45,1
2013-09-19,6:17,18:43,1
2013-09-20,6:18,18:41,1
2013-09-21,6:20,18:38,1
2013-09-22,6:22,18:36,1
2013-09-23,6:23,18:34,1
2013-09-24,6:25,18:31,1
2013-09-25,6:27,18:29,1
2013-09-26,6:28,18:27,1
2013-09-27,6:30,18:24,1
2013-09-28,6:32,18:22,1
2013-09-29,6:33,18:19,1
2013-09-30,6:35,18:17,1
2013-10-01,6:37,18:15,1
2013-10-02,6:38,18:12,1
2013-10-03,6:40,18:10,1
2013-10-04,6:42,18:08,1
2013-10-05,6:43,18:06,1
2013-10-06,6:45,18:03,1
2013-10-07,6:47,18:01,1
2013-10-08,6:49,17:59,1
2013-10-09,6:50,17:56,1
2013-10-10,6:52,17:54,1
2013-10-11,6:54,17:52,1
2013-10-12,6:55,17:50,1
2013-10-13,6:57,17:47,1
2013-10-14,6:59,17:45,1
2013-10-15,7:01,17:43,1
2013-10-16,7:02,17:41,1
2013-10-17,7:04,17:39,1
2013-10-18,7:06,17:36,1
2013-10-19,7:08,17:34,1
