Region,solar eclipse
Wyoming,100
Oregon,82
Idaho,82
South Carolina,67
Nebraska,63
Tennessee,62
Missouri,62
Kentucky,55
Montana,48
Washington,45
Colorado,43
Georgia,42
Utah,42
Kansas,42
North Carolina,41
Indiana,33
Alabama,33
South Dakota,32
Iowa,30
Illinois,29
Virginia,28
Arkansas,27
Ohio,26
Oklahoma,25
Wisconsin,24
Minnesota,24
West Virginia,24
Maryland,24
District of Columbia,23
Vermont,23
Delaware,23
New Hampshire,22
Michigan,22
Florida,21
Pennsylvania,21
New Mexico,21
Mississippi,21
Arizona,20
Maine,20
North Dakota,20
Connecticut,20
New Jersey,20
California,19
Massachusetts,18
Nevada,18
Rhode Island,18
Louisiana,18
Alaska,17
Texas,17
New York,16
Hawaii,13
