airport,date,actual_max_temp,average_max_temp,record_max_temp,actual_min_temp,average_min_temp,record_min_temp
BOS,2015-06-10,82,74,96,62,58,45
BOS,2015-04-28,64,60,93,42,45,30
SEA,2015-02-03,50,49,63,42,37,8
SEA,2015-11-28,45,48,59,27,37,17
SEA,2015-11-27,49,48,58,29,38,19
AUS,2015-06-26,92,94,106,74,71,62
BOS,2015-11-15,54,52,78,37,38,17
BOS,2015-11-26,59,48,67,38,35,12
SEA,2015-03-23,52,55,68,42,40,28
BOS,2015-02-08,29,38,66,13,24,-12
SEA,2015-06-15,86,70,88,61,52,43
BOS,2015-05-23,65,68,93,44,52,40
AUS,2015-06-17,87,93,104,67,70,62
BOS,2015-02-19,30,40,65,10,25,4
BOS,2015-11-04,60,55,78,49,41,21
SEA,2015-08-27,85,75,88,58,55,44
BOS,2015-05-14,69,65,86,49,49,37
AUS,2015-04-17,74,80,100,65,55,31
BOS,2015-02-22,39,40,66,28,26,2
AUS,2015-04-02,83,77,91,67,51,38
SEA,2015-08-05,74,77,93,54,57,49
BOS,2015-07-15,82,82,98,67,66,54
BOS,2015-03-14,39,45,76,31,30,12
SEA,2015-05-05,58,63,86,45,45,36
AUS,2015-07-28,99,96,104,73,72,68
AUS,2015-02-28,37,68,87,31,42,24
BOS,2015-07-04,72,81,104,62,64,53
BOS,2015-03-05,39,42,72,18,28,-4
SEA,2015-12-24,42,45,62,36,35,16
AUS,2015-02-17,54,65,92,30,40,22
AUS,2015-05-29,87,90,98,64,67,54
BOS,2015-10-16,61,61,88,50,46,30
AUS,2015-02-02,47,63,85,33,37,8
SEA,2015-12-22,46,45,57,37,35,14
BOS,2015-08-05,85,81,100,65,66,54
SEA,2015-06-18,76,70,94,57,52,43
BOS,2015-06-17,69,77,95,59,60,48
AUS,2015-12-19,67,63,84,28,36,24
AUS,2015-06-04,89,91,99,63,69,58
BOS,2015-06-20,75,78,98,58,61,47
SEA,2015-05-14,64,65,87,49,47,36
SEA,2015-11-15,48,51,62,36,40,6
SEA,2015-05-23,61,66,90,53,49,37
AUS,2015-08-26,95,95,103,69,70,60
SEA,2015-09-03,65,74,92,51,54,45
SEA,2015-01-27,52,48,58,47,37,11
SEA,2015-09-16,68,71,91,50,52,44
SEA,2015-04-14,53,58,83,37,42,33
BOS,2015-10-15,62,62,86,47,47,31
AUS,2015-06-10,92,92,100,68,70,57
BOS,2015-10-04,56,66,86,51,51,34
AUS,2015-06-01,87,90,100,60,68,56
AUS,2015-10-23,80,80,92,70,54,38
SEA,2015-08-15,71,77,96,57,56,47
SEA,2015-10-28,57,56,66,52,44,30
AUS,2015-09-09,93,92,100,73,67,54
AUS,2015-08-23,99,96,105,72,71,63
SEA,2015-07-23,79,77,99,58,56,47
SEA,2015-01-11,49,47,59,45,37,12
AUS,2015-07-21,95,96,102,71,72,66
AUS,2015-02-23,37,66,94,30,41,24
SEA,2015-09-25,60,68,85,55,50,36
BOS,2015-07-03,76,81,102,63,64,51
AUS,2015-02-18,64,65,89,25,40,25
SEA,2015-03-06,59,52,68,38,38,26
AUS,2015-01-19,72,62,86,29,36,14
AUS,2015-07-07,92,94,104,77,71,64
AUS,2015-02-09,81,64,87,45,38,23
SEA,2015-03-13,63,53,70,46,39,28
BOS,2015-03-22,39,47,83,21,33,8
BOS,2015-09-14,72,73,92,57,58,40
AUS,2015-07-12,93,95,106,69,72,64
BOS,2015-08-02,88,81,102,68,66,54
BOS,2015-09-05,73,76,93,58,61,48
BOS,2015-04-01,47,50,76,30,36,13
AUS,2015-12-10,79,64,83,45,38,18
SEA,2015-11-29,35,48,59,28,37,18
SEA,2015-10-06,65,63,78,50,48,37
AUS,2015-01-28,80,62,80,36,37,18
SEA,2015-12-09,54,46,61,46,36,18
BOS,2015-06-30,75,80,95,60,64,52
SEA,2015-05-24,64,66,89,52,49,37
BOS,2015-09-27,64,68,86,48,53,37
SEA,2015-01-20,50,48,64,38,37,16
AUS,2015-06-20,84,93,103,71,71,63
BOS,2015-01-25,38,36,59,19,22,-5
SEA,2015-10-16,68,60,70,48,46,35
SEA,2015-01-31,45,49,61,38,37,0
BOS,2015-10-21,61,60,82,53,45,30
SEA,2015-10-09,67,62,79,54,47,35
AUS,2015-11-23,64,69,87,27,43,27
SEA,2015-04-04,55,57,75,39,41,31
AUS,2015-08-07,99,97,106,74,72,70
BOS,2015-12-22,60,39,62,48,26,1
BOS,2015-10-03,54,66,85,49,51,35
AUS,2015-03-29,82,75,95,53,50,30
AUS,2015-10-28,81,78,89,51,52,33
BOS,2015-02-04,38,37,64,14,23,-2
BOS,2015-12-15,61,41,66,48,28,-2
BOS,2015-05-07,79,63,95,53,47,37
AUS,2015-03-30,80,76,91,61,50,31
AUS,2015-10-31,73,77,90,63,51,36
SEA,2015-01-09,50,46,56,38,37,13
