path;imported sampledata;documented sampledata;missing documentation
examples/plotting/file/unemployment.py;['unemployment1948'];[];True
examples/plotting/file/box_annotation.py;['glucose'];['glucose'];False
examples/plotting/file/elements.py;['periodic_table'];['periodic_table'];False
examples/plotting/file/bar_pandas_groupby_colormapped.py;['autompg'];['autompg'];False
examples/plotting/file/us_marriages_divorces_hover.py;['us_marriages_divorces'];[];True
examples/plotting/file/burtin.py;['antibiotics'];['antibiotics'];False
examples/plotting/file/iris.py;['iris'];['iris'];False
examples/plotting/file/choropleth.py;['unemployment', 'us_counties', 'us_states'];['unemployment', 'us_counties', 'us_states'];False
examples/plotting/file/multi_legend.py;['stocks'];[];True
examples/plotting/file/periodic_shells.py;['periodic_table'];[];True
examples/plotting/file/marker_map.py;['penguins'];['penguins'];False
examples/plotting/file/custom_tooltip.py;['periodic_table'];[];True
examples/plotting/file/sprint.py;['sprint'];['sprint'];False
examples/plotting/file/linked_brushing.py;['autompg'];['autompg'];False
examples/plotting/file/interactive_legend.py;['stocks'];['stocks'];False
examples/plotting/file/geojson_points.py;['sample_geojson'];[];True
examples/plotting/file/texas.py;['unemployment', 'us_counties'];['unemployment', 'us_counties'];False
examples/plotting/file/bar_pandas_groupby_nested.py;['autompg'];['autompg'];False
examples/plotting/file/custom_datetime_axis.py;['stocks'];[];True
examples/plotting/file/stocks.py;['stocks'];['stocks'];False
examples/plotting/file/graphs.py;['airport_routes', 'us_states'];[];True
examples/plotting/file/eclipse.py;['us_states'];['us_states'];False
examples/plotting/file/les_mis.py;['les_mis'];['les_mis'];False
examples/plotting/file/customjs_transform.py;['stocks'];[];True
examples/plotting/file/sizing_mode.py;['iris'];[];True
examples/plotting/file/airports_map.py;['airports'];['airport'];True
examples/plotting/file/bar_intervals.py;['sprint'];['sprint'];False
examples/plotting/file/periodic.py;['periodic_table'];['periodic_table'];False
examples/plotting/file/categorical_scatter_jitter.py;['commits'];['commits'];False
examples/plotting/file/filtering.py;['us_states'];[];True
examples/plotting/file/ridgeplot.py;['perceptions'];['perceptions'];False
examples/plotting/file/candlestick.py;['stocks'];['stocks'];False
examples/plotting/file/range_tool.py;['stocks'];['stocks'];False
examples/plotting/file/hover_glyph.py;['glucose'];[];True
examples/plotting/file/jitter.py;['autompg'];['autompg'];False
examples/models/file/widgets.py;['autompg2', 'iris'];['autompg2'];True
examples/models/file/basic_plot.py;[];['sine'];True
examples/models/file/data_tables.py;['autompg2'];[];True
examples/models/file/iris.py;['iris'];[];True
examples/models/file/choropleth.py;['unemployment', 'us_counties', 'us_states'];[];True
examples/models/file/iris_splom.py;['iris'];['iris'];False
examples/models/file/maps_cities.py;['world_cities'];[];True
examples/models/file/calendars.py;['us_holidays'];['us_holidays'];False
examples/models/file/daylight.py;['daylight'];['daylight'];False
examples/models/file/trail.py;['mtb'];[];True
examples/models/file/donut.py;['browsers'];[];True
examples/models/file/anscombe.py;['anscombe'];['anscombe'];False
