butterfat,age,breed
3.74,Mature,Ayrshire
4.01,Mature,Ayrshire
3.77,Mature,Ayrshire
3.78,Mature,Ayrshire
4.1,Mature,Ayrshire
4.06,Mature,Ayrshire
4.27,Mature,Ayrshire
3.94,Mature,Ayrshire
4.11,Mature,Ayrshire
4.25,Mature,Ayrshire
4.44,2 years old,Ayrshire
4.37,2 years old,Ayrshire
4.25,2 years old,Ayrshire
3.71,2 years old,Ayrshire
4.08,2 years old,Ayrshire
3.9,2 years old,Ayrshire
4.41,2 years old,Ayrshire
4.11,2 years old,Ayrshire
4.37,2 years old,Ayrshire
3.53,2 years old,Ayrshire
3.92,Mature,Canadian
4.95,Mature,Canadian
4.47,Mature,Canadian
4.28,Mature,Canadian
4.07,Mature,Canadian
4.1,Mature,Canadian
4.38,Mature,Canadian
3.98,Mature,Canadian
4.46,Mature,Canadian
5.05,Mature,Canadian
4.29,2 years old,Canadian
5.24,2 years old,Canadian
4.43,2 years old,Canadian
4.0,2 years old,Canadian
4.62,2 years old,Canadian
4.29,2 years old,Canadian
4.85,2 years old,Canadian
4.66,2 years old,Canadian
4.4,2 years old,Canadian
4.33,2 years old,Canadian
4.54,Mature,Guernsey
5.18,Mature,Guernsey
5.75,Mature,Guernsey
5.04,Mature,Guernsey
4.64,Mature,Guernsey
4.79,Mature,Guernsey
4.72,Mature,Guernsey
3.88,Mature,Guernsey
5.28,Mature,Guernsey
4.66,Mature,Guernsey
5.3,2 years old,Guernsey
4.5,2 years old,Guernsey
4.59,2 years old,Guernsey
5.04,2 years old,Guernsey
4.83,2 years old,Guernsey
4.55,2 years old,Guernsey
4.97,2 years old,Guernsey
5.38,2 years old,Guernsey
5.39,2 years old,Guernsey
5.97,2 years old,Guernsey
3.4,Mature,Holstein-Friesian
3.55,Mature,Holstein-Friesian
3.83,Mature,Holstein-Friesian
3.95,Mature,Holstein-Friesian
4.43,Mature,Holstein-Friesian
3.7,Mature,Holstein-Friesian
3.3,Mature,Holstein-Friesian
3.93,Mature,Holstein-Friesian
3.58,Mature,Holstein-Friesian
3.54,Mature,Holstein-Friesian
3.79,2 years old,Holstein-Friesian
3.66,2 years old,Holstein-Friesian
3.58,2 years old,Holstein-Friesian
3.38,2 years old,Holstein-Friesian
3.71,2 years old,Holstein-Friesian
3.94,2 years old,Holstein-Friesian
3.59,2 years old,Holstein-Friesian
3.55,2 years old,Holstein-Friesian
3.55,2 years old,Holstein-Friesian
3.43,2 years old,Holstein-Friesian
4.8,Mature,Jersey
6.45,Mature,Jersey
5.18,Mature,Jersey
4.49,Mature,Jersey
5.24,Mature,Jersey
5.7,Mature,Jersey
5.41,Mature,Jersey
4.77,Mature,Jersey
5.18,Mature,Jersey
5.23,Mature,Jersey
5.75,2 years old,Jersey
5.14,2 years old,Jersey
5.25,2 years old,Jersey
4.76,2 years old,Jersey
5.18,2 years old,Jersey
4.22,2 years old,Jersey
5.98,2 years old,Jersey
4.85,2 years old,Jersey
6.55,2 years old,Jersey
5.72,2 years old,Jersey
