country,year,emissions
Afghanistan,1950.0,0.010345801
Albania,1950.0,0.244444042
Algeria,1950.0,0.432727975
Angola,1950.0,0.045087304
Argentina,1950.0,1.746282701
Australia,1950.0,6.699445036
Austria,1950.0,3.015185252
Bahamas,1950.0,0.695427878
Bahrain,1950.0,11.95665963
Bangladesh,1950.0,0.026225469
Barbados,1950.0,0.347559579
Belgium,1950.0,8.839361484
Belize,1950.0,0.266016619
Bermuda,1950.0,1.180891036
Bolivia,1950.0,0.182412488
Brazil,1950.0,0.364596577
Brunei,1950.0,8.631764616
Bulgaria,1950.0,1.035121735
Cameroon,1950.0,0.031195215
Canada,1950.0,11.2292859
Cape Verde,1950.0,0.57657172
Chile,1950.0,1.390841165
China,1950.0,0.142899568
Colombia,1950.0,0.625493072
"Congo, Dem. Rep.",1950.0,0.121583597
Costa Rica,1950.0,0.296061655
Cuba,1950.0,0.947635615
Cyprus,1950.0,0.541820002
Denmark,1950.0,5.15603121
Djibouti,1950.0,0.177416493
Ecuador,1950.0,0.218656217
Egypt,1950.0,0.47618554
El Salvador,1950.0,0.121672363
Equatorial Guinea,1950.0,0.048772701
Ethiopia,1950.0,0.004773822
Faeroe Islands,1950.0,1.280260708
Fiji,1950.0,0.418695263
Finland,1950.0,1.634404697
France,1950.0,4.839738567
French Guiana,1950.0,0.287818727
Gambia,1950.0,0.054046352
Germany,1950.0,7.474474256
Ghana,1950.0,0.128089841
Gibraltar,1950.0,5.724414955
Greece,1950.0,0.546171324
Greenland,1950.0,4.30472215
Grenada,1950.0,0.095640531
Guadeloupe,1950.0,0.29682681
Guatemala,1950.0,0.196965127
Guinea-Bissau,1950.0,0.014152342
Guyana,1950.0,0.64032874
Haiti,1950.0,0.035286213
Honduras,1950.0,0.202164867
"Hong Kong, China",1950.0,0.668693687
Hungary,1950.0,1.971215752
Iceland,1950.0,5.179559621
India,1950.0,0.179173955
Indonesia,1950.0,0.131454039
Iran,1950.0,0.0
Iraq,1950.0,0.288502292
Ireland,1950.0,3.341808861
Israel,1950.0,1.329125496
Italy,1950.0,0.894627827
Jamaica,1950.0,0.193409443
Japan,1950.0,1.248592803
Jordan,1950.0,0.383934744
Kenya,1950.0,0.14964122
Kuwait,1950.0,2.528719023
Lebanon,1950.0,1.021606209
Liberia,1950.0,0.052315414
Libya,1950.0,0.138968523
Luxembourg,1950.0,25.08437471
Madagascar,1950.0,0.074526585
Malta,1950.0,0.787400734
Martinique,1950.0,0.247746632
Mauritius,1950.0,0.408849531
Mexico,1950.0,1.095823004
Mongolia,1950.0,0.366572674
Morocco,1950.0,0.286272758
Mozambique,1950.0,0.140015737
Myanmar,1950.0,0.046801668
Nepal,1950.0,0.003118296
Netherlands,1950.0,5.118755303
New Caledonia,1950.0,3.393804764
New Zealand,1950.0,4.494931257
Nicaragua,1950.0,0.147233743
Nigeria,1950.0,0.059658791
Norway,1950.0,2.585196529
Pakistan,1950.0,0.142786037
Panama,1950.0,0.601098487
Papua New Guinea,1950.0,0.032197786
Paraguay,1950.0,0.042310229
Peru,1950.0,0.595701264
Philippines,1950.0,0.19612405
Poland,1950.0,4.520407988
Portugal,1950.0,0.668253224
Qatar,1950.0,14.08112649
Reunion,1950.0,0.103448322
Romania,1950.0,1.191425156
Russia,1950.0,4.106827562
Samoa,1950.0,0.044659895
Saudi Arabia,1950.0,1.648118525
Sierra Leone,1950.0,0.083183454
Slovak Republic,1950.0,5.44116719
Somalia,1950.0,0.021053428
South Africa,1950.0,4.464099745
Spain,1950.0,1.178125277
Sri Lanka,1950.0,0.197557879
Sudan,1950.0,0.075241776
Suriname,1950.0,0.989151888
Swaziland,1950.0,0.013431013
Sweden,1950.0,4.089582156
Switzerland,1950.0,2.194617297
Syria,1950.0,0.121386837
Taiwan,1950.0,0.474585474
Tanzania,1950.0,0.065187179
Thailand,1950.0,0.046439802
Togo,1950.0,0.018393005
Tonga,1950.0,0.155301426
Trinidad and Tobago,1950.0,3.701263681
Tunisia,1950.0,0.345930766
Turkey,1950.0,0.447144029
Uganda,1950.0,0.020614454
United Kingdom,1950.0,9.894187897
United States,1950.0,16.08097785
Uruguay,1950.0,1.097458156
Venezuela,1950.0,7.520192886
Afghanistan,1951.0,0.011075107
Albania,1951.0,0.325276424
Algeria,1951.0,0.46194881
Angola,1951.0,0.059093082
Argentina,1951.0,1.9989667
Australia,1951.0,7.034238491
Austria,1951.0,3.359955768
Bahamas,1951.0,0.825185667
Bahrain,1951.0,10.07188088
Bangladesh,1951.0,0.03137625
Barbados,1951.0,0.51003139
Belgium,1951.0,10.33180178
Belize,1951.0,0.360755431
Bermuda,1951.0,1.552315685
Bolivia,1951.0,0.166909926
Brazil,1951.0,0.38946271
Brunei,1951.0,5.887344168
Bulgaria,1951.0,1.122270191
Cameroon,1951.0,0.040297787
Canada,1951.0,11.52001876
Cape Verde,1951.0,0.423137371
Chile,1951.0,1.613033244
China,1951.0,0.179800255
Colombia,1951.0,0.662079768
"Congo, Dem. Rep.",1951.0,0.140577328
Costa Rica,1951.0,0.313467538
Cuba,1951.0,1.070316829
Cyprus,1951.0,0.564241229
Denmark,1951.0,5.093012235
Djibouti,1951.0,0.404428758
