RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,type
3.009999999999991,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,WinF
-0.39000000000010004,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,WinF
-1.8199999999999363,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,WinF
-0.33999999999991815,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,WinF
-0.5799999999999272,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,WinF
-2.0399999999999636,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,WinF
-0.5699999999999363,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,WinF
-0.44000000000005457,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,WinF
1.1800000000000637,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,WinF
-0.4500000000000455,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,WinF
-2.290000000000191,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,WinF
-0.36999999999989086,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,WinF
-2.1100000000001273,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,WinF
-0.5199999999999818,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,WinF
-0.36999999999989086,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,WinF
-0.39000000000010004,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,WinF
-0.15999999999985448,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,WinF
3.9600000000000364,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,WinF
1.1099999999999,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,WinF
-0.650000000000091,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,WinF
-0.5,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,WinF
1.6600000000000819,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,WinF
-0.6399999999998727,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,WinF
-0.4900000000000091,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,WinF
-0.7999999999999545,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,WinF
-0.35999999999989996,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,WinF
-0.06999999999993634,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,WinF
-0.7899999999999636,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,WinF
-0.3200000000001637,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,WinF
-0.15999999999985448,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,WinF
-0.3200000000001637,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,WinF
-0.5299999999999727,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,WinF
-0.25,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,WinF
-0.4700000000000273,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,WinF
-0.17000000000007276,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,WinF
-2.3299999999999272,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,WinF
1.0900000000001455,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,WinF
-0.029999999999972715,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,WinF
4.129999999999882,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,WinF
4.129999999999882,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,WinF
